name,ring,quadrant,isNew,description
Django,Adopt,Platform,TRUE,"<strong>Web Application Server</strong><p>Django is a Python-based free and open-source web framework, which follows the model-template-view architectural pattern. It is maintained by the Django Software Foundation, an independent organization established as a 501 non-profit. Django's primary goal is to ease the creation of complex, database-driven websites.</p>"
Eclipse,Adopt,Tools,TRUE,<strong>Coding (Editors / Utilities)</strong><p>Eclipse is an integrated development environment used in computer programming. It contains a base workspace and an extensible plug-in system for customizing the environment.</p>
Express.js,Adopt,Languages and Frameworks,TRUE,"<strong>Other frameworks</strong><p>Express.js, or simply Express, is a web application framework for Node.js, released as free and open-source software under the MIT License. It is designed for building web applications and APIs. It has been called the de facto standard server framework for Node.js.</p>"
F5,Adopt,Languages and Frameworks,TRUE,"<strong>H/W Load balancers</strong><p>F5 Networks, Inc. is a transnational company that specializes in application services and application delivery networking. F5 technologies focus on the delivery, security, performance, and availability of web applications, including the availability of computing, storage, and network resources.</p>"
Galera,Adopt,Platform,TRUE,"<strong>Database cluster</strong><p>Galera Cluster is a synchronous multi-master replication plug-in for InnoDB. It is very different from the regular MySQL Replication, and addresses a number of issues including write conflicts when writing on multiple masters, replication lag and slaves being out of sync with the master</p>"
gcov (C/C++),Adopt,Tools,TRUE,<strong>Code coverage</strong><p>Gcov is a source code coverage analysis and statement-by-statement profiling tool. Gcov generates exact counts of the number of times each statement in a program is executed and annotates source code to add instrumentation. Gcov comes as a standard utility with the GNU Compiler Collection (GCC) suite.</p>
gdb,Adopt,Techniques,TRUE,"<strong>Debugging     </strong><p>The GNU Debugger is a portable debugger that runs on many Unix-like systems and works for many programming languages, including Ada, C, C++, Objective-C, Free Pascal, Fortran, Go, and partially others.</p>"
Git,Adopt,Platform,TRUE,"<strong>Configuration management</strong><p>Git is a distributed version-control system for tracking changes in source code during software development. It is designed for coordinating work among programmers, but it can be used to track changes in any set of files. Its goals include speed, data integrity, and support for distributed, non-linear workflows.</p>"
Google Office,Adopt,Platform,TRUE,"<strong>Collaboration</strong><p>Google LLC is an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, search engine, cloud computing, software, and hardware. It is considered one of the Big Four technology companies, alongside Amazon, Apple, and Facebook.</p>"
HA Proxy,Adopt,Platform,TRUE,"<strong>S/W Load Balancers</strong><p>HAProxy is free, open source software that provides a high availability load balancer and proxy server for TCP and HTTP-based applications that spreads requests across multiple servers. It is written in C and has a reputation for being fast and efficient.</p>"
Hibernate,Adopt,Languages and Frameworks,TRUE,<strong>ORM</strong><p>Hibernate ORM is an object-relational mapping tool for the Java programming language. It provides a framework for mapping an object-oriented domain model to a relational database.</p>
HTML5,Adopt,Tools,TRUE,<strong>Web Programming</strong><p>HTML5 is a software solution stack that defines the properties and behaviors of web page content by implementing a markup based pattern to it. HTML5 was the fifth and last major version of HTML that is a World Wide Web Consortium recommendation.</p>
InfluxDB,Adopt,Platform,TRUE,"<strong>Time series DB</strong><p>InfluxDB is an open-source time series database developed by InfluxData. It is written in Go and optimized for fast, high-availability storage and retrieval of time series data in fields such as operations monitoring, application metrics, Internet of Things sensor data, and real-time analytics.</p>"
Infobright,Adopt,Platform,TRUE,"<strong>Columnar database</strong><p>Infobright is a commercial provider of column-oriented relational database software with a focus in machine-generated data. The company's head office is located in Toronto, Ontario, Canada. Most of its research and development is based in Warsaw, Poland.</p>"
Istanbul (JavaScript),Adopt,Tools,TRUE,<strong>Code coverage</strong><p> A Javascript code coverage tool written in JS</p>
jacoco (JAVA),Adopt,Tools,TRUE,"<strong>Code coverage</strong><p>Java code coverage tools are of two types: first, tools that add statements to the Java source code and require its recompilation. Second, tools that instrument the bytecode, either before or during execution</p>"
Jasmine,Adopt,Languages and Frameworks,TRUE,"<strong>Test Automation Framework</strong><p>Jasmine is an open source testing framework for JavaScript. It aims to run on any JavaScript-enabled platform, to not intrude on the application nor the IDE, and to have easy-to-read syntax. It is heavily influenced by other unit testing frameworks, such as ScrewUnit, JSSpec, JSpec, and RSpec.</p>"
Jasper,Adopt,Techniques,TRUE,"<strong>Reporting / BI     </strong><p>Jasper Reports – Open Source Reporting Tool. JasperReports is an open source reporting engine. It provides ability to deliver rich content onto to the printer, the screen, or into various formats such as PDF, HTML, XLS, RTF, ODT, CSV, TXT and XML files</p>"
Java,Adopt,Languages and Frameworks,TRUE,"<strong>Programming Languages</strong><p>Java is a general-purpose programming language that is class-based, object-oriented, and designed to have as few implementation dependencies as possible.</p>"
Java script,Adopt,Tools,TRUE,"<strong>Web Programming</strong><p>JavaScript, often abbreviated as JS, is a high-level, just-in-time compiled, multi-paradigm programming language that conforms to the ECMAScript specification. JavaScript has curly-bracket syntax, dynamic typing, prototype-based object-orientation, and first-class functions.</p>"
jdb,Adopt,Techniques,TRUE,"<strong>Debugging     </strong><p>JDB is a command-line debugging tool used to find and fix bugs in Java programs. In this approach, there is no requirement to insert debugging instructions into the code. Thus, JDB debugs the Java programs through specific commands only.</p>"
Jenkins,Adopt,Platform,TRUE,"<strong>Continuous Integration<strong><p>Jenkins is a free and open source automation server. Jenkins helps to automate the non-human part of the software development process, with continuous integration and facilitating technical aspects of continuous delivery. It is a server-based system that runs in servlet containers such as Apache Tomcat. </p>"
jmeter,Adopt,Languages and Framework,TRUE,"<strong>Test Automation Framework</strong><p>Apache JMeter is an Apache project that can be used as a load testing tool for analyzing and measuring the performance of a variety of services, with a focus on web applications. </p>"
Kapacitor,Adopt,Languages and Frameworks,TRUE,"<strong>Monitoring Framework</strong><p>Kapacitor is a native data processing engine for InfluxDB 1. x and is an integrated component in the InfluxDB 2.0 platform. Kapacitor can process both stream and batch data from InfluxDB, acting on this data in real-time via its programming language TICKscript.</p>"
KVM,Adopt,Platform,TRUE,"<strong>Virtualization</strong><p>Kernel-based Virtual Machine is a virtualization module in the Linux kernel that allows the kernel to function as a hypervisor. It was merged into the Linux kernel mainline in kernel version 2.6.20, which was released on February 5, 2007. </p>"
Linux HA,Adopt,Techniques,TRUE,"<strong>Cluster software     </strong><p>The Linux-HA project provides a high-availability solution for Linux, FreeBSD, OpenBSD, Solaris and Mac OS X which promotes reliability, availability, and serviceability. The project's main software product is Heartbeat, a GPL-licensed portable cluster management program for high-availability clustering.</p>"
log4j,Adopt,Languages and Frameworks,TRUE,<strong>Log management</strong><p>Apache Log4j is a Java-based logging utility. It was originally written by Ceki Gülcü and is part of the Apache Logging Services project of the Apache Software Foundation. Log4j is one of several Java logging frameworks.</p>
logback,Adopt,Languages and Frameworks,TRUE,"<strong>Log management</strong><p>Logback is a logging framework for Java applications, created as a successor to the popular log4j project.</p>"
Maven,Adopt,Platform,TRUE,"<strong>Build</strong><p>Maven is a build automation tool used primarily for Java projects. Maven can also be used to build and manage projects written in C#, Ruby, Scala, and other languages. The Maven project is hosted by the Apache Software Foundation, where it was formerly part of the Jakarta Project.</p>"
MongoDB,Adopt,Platform,TRUE,"<strong>NoSQL</strong><p>MongoDB is a cross-platform document-oriented database program. Classified as a NoSQL database program, MongoDB uses JSON-like documents with schema. MongoDB is developed by MongoDB Inc. and licensed under the Server Side Public License.</p>"
MoSCoW Rule,Adopt,Techniques,TRUE,"<strong>Prioritization     </strong><p>The MoSCoW method is a prioritization technique used in management, business analysis, project management, and software development to reach a common understanding with stakeholders on the importance they place on the delivery of each requirement; it is also known as MoSCoW prioritization or MoSCoW analysis.</p>"
MySQL,Adopt,Platform,TRUE,"<strong>RDBMS</strong><p>MySQL is an open-source relational database management system. Its name is a combination of ""My"", the name of co-founder Michael Widenius's daughter, and ""SQL"", the abbreviation for Structured Query Language</p>"
nagios,Adopt,Languages and Frameworks,TRUE,"<strong>Monitoring Framework</strong><p>Nagios, now known as Nagios Core, is a free and open-source computer-software application that monitors systems, networks and infrastructure. Nagios offers monitoring and alerting services for servers, switches, applications and services.</p>"
Network security,Adopt,Techniques,TRUE,"<strong>DevSecOps     </strong><p>Network security consists of the policies and practices adopted to prevent and monitor unauthorized access, misuse, modification, or denial of a computer network and network-accessible resources.</p>"
Nginx,Adopt,Platform,TRUE,"<strong>S/W Load Balancers</strong><p>Nginx is a web server which can also be used as a reverse proxy, load balancer, mail proxy and HTTP cache. The software was created by Igor Sysoev and first publicly released in 2004. A company of the same name was founded in 2011 to provide support and Nginx plus paid software.</p>"
Node Express,Adopt,Platform,TRUE,"<strong>Web Application Server</strong><p>Express.js, or simply Express, is a web application framework for Node.js, released as free and open-source software under the MIT License. It is designed for building web applications and APIs. It has been called the de facto standard server framework for Node.js.</p>"
Node.js,Adopt,Languages and Frameworks,TRUE,"<strong>Other frameworks</strong><p>Node.js is an open-source, cross-platform, JavaScript runtime environment that executes JavaScript code outside of a browser.</p>"
Open Stack,Adopt,Platform,TRUE,"<strong>Cloud</strong><p>OpenStack is a free and open-source software platform for cloud computing, mostly deployed as infrastructure-as-a-service, whereby virtual servers and other resources are made available to customers. </p>"
Oracle,Adopt,Platform,TRUE,"<strong>RDBMS</strong><p>Oracle is one of the largest vendors in the enterprise IT market and the shorthand name of its flagship product, a relational database management system (RDBMS) that's formally called Oracle Database. The database software sits at the center of many corporate IT environments, supporting a mix of transaction processing, business intelligence and analytics applications.</p>"
Oracle Cluster,Adopt,Techniques,TRUE,<strong>Cluster software  </strong><p>Oracle Clusterware is the cross-platform cluster software required to run the Real Application Clusters (RAC) option for Oracle Database. It provides the basic clustering services at the operating-system level that enable Oracle Database software to run in clustering mode.</p>
Oracle Golden gate,Adopt,Platform,TRUE,"<strong>Database cluster</strong><p>Oracle GoldenGate is a software product that allows you to replicate, filter, and transform data from one database to another database. It enables the replication of data between Oracle databases and other supported heterogeneous databases.</p>"
Oracle Linux,Adopt,Platform,TRUE,"<strong>Operating Systems</strong><p>Oracle Linux is a Linux distribution packaged and freely distributed by Oracle, available partially under the GNU General Public License since late 2006. It is compiled from Red Hat Enterprise Linux source code, replacing Red Hat branding with Oracle's.</p>"
OVM,Adopt,Languages and Frameworks,TRUE,"<strong>Enterprise Virtualization</strong><p>Oracle VM Server for x86 is the server virtualization offering from Oracle Corporation. Oracle VM Server for x86 incorporates the free and open-source Xen hypervisor technology, supports Windows, Linux, and Solaris guests and includes an integrated Web based management console</p>"
PaceMaker,Adopt,Techniques,TRUE,"<strong>Cluster software      </strong><p>Pacemaker is an open-source high availability resource manager software used on computer clusters since 2004. Until about 2007, it was part of the Linux-HA project, then was split out to be its own project. </p>"
Perl,Adopt,Tools,TRUE,"<strong>Scripting</strong><p>Perl is a family of two high-level, general-purpose, interpreted, dynamic programming languages. ""Perl"" refers to Perl 5, but from 2000 to 2019 it also referred to its redesigned ""sister language"", Perl 6, before the latter's name was officially changed to Raku in October 2019.</p>"
PHP,Adopt,Tools,TRUE,<strong>Web Programming</strong><p>PHP is a general-purpose programming language originally designed for web development. It was originally created by Rasmus Lerdorf in 1994; the PHP reference implementation is now produced by The PHP Group</p>
Poker Planning,Adopt,Techniques,TRUE,"<strong>Estimation     </strong><p>Planning poker, also called Scrum poker, is a consensus-based, gamified technique for estimating, mostly used to estimate effort or relative size of development goals in software development.</p>"
Postgres,Adopt,Platform,TRUE,"<strong>v</strong><p>PostgreSQL, also known as Postgres, is a free and open-source relational database management system emphasizing extensibility and technical standards compliance. It is designed to handle a range of workloads, from single machines to data warehouses or Web services with many concurrent users</p>"
proguard,Adopt,Techniques,TRUE,"<strong>Obfuscators     </strong><p>ProGuard is an open source command-line tool that shrinks, optimizes and obfuscates Java code. It is able to optimize bytecode as well as detect and remove unused instructions. ProGuard is free software and is distributed under the GNU General Public License, version 2.</p>"
Python,Adopt,Tools,TRUE,"<strong>Scripting</strong><p>Python is an interpreted, high-level, general-purpose programming language. Created by Guido van Rossum and first released in 1991, Python's design philosophy emphasizes code readability with its notable use of significant whitespace. </p>"
QlikSense,Adopt,Techniques,TRUE,<strong>Reporting / BI    </strong><p>Qlik Sense is a business intelligence (BI) and visual analytics platform that supports a range of analytic use cases.</p>
Rabbit MQ,Adopt,Languages and Frameworks,TRUE,"<strong>Message Queues</strong><p>RabbitMQ is an open-source message-broker software that originally implemented the Advanced Message Queuing Protocol and has since been extended with a plug-in architecture to support Streaming Text Oriented Messaging Protocol, Message Queuing Telemetry Transport, and other protocols.</p>"
Radware,Adopt,Languages and Frameworks,TRUE,"<strong>H/W Load balancers</strong><p>Radware Ltd. is a provider of cybersecurity and application delivery solutions for physical, cloud and software-defined data centers. Radware's corporate headquarters are located in Mahwah, New Jersey and international headquarters are located in Tel Aviv, Israel.</p>"
React,Adopt,Languages and Frameworks,TRUE,<strong>Web UI Frameworks</strong><p>React is a JavaScript library for building user interfaces. It is maintained by Facebook and a community of individual developers and companies. React can be used as a base in the development of single-page or mobile applications.</p>
RedHat Linux,Adopt,Platform,TRUE,"<strong>Operating Systems</strong><p>Red Hat Linux, created by the company Red Hat, was a widely used Linux distribution until its discontinuation in 2004. Early releases of Red Hat Linux were called Red Hat Commercial Linux. Red Hat published the first non-beta release in May 1995.</p>"
Rest assured,Adopt,Languages and Frameworks,TRUE,"<strong>Test Automation Framework</strong><p>REST Assured is a Java DSL for simplifying testing of REST based services built on top of HTTP Builder. It supports POST, GET, PUT, DELETE, OPTIONS, PATCH and HEAD requests and can be used to validate and verify the response of these requests.</p>"
rsyslog,Adopt,Languages and Frameworks,TRUE,<strong>Log management</strong><p>Rsyslog is an open-source software utility used on UNIX and Unix-like computer systems for forwarding log messages in an IP network</p>
Scikit-learn,Adopt,Tools,TRUE,"<strong>AI/ML Technologies</strong><p>Scikit-learn (formerly scikits.learn and also known as sklearn) is a free software machine learning library for the Python programming language. It features various classification, regression and clustering algorithms including support vector machines, random forests, gradient boosting, k-means and DBSCAN, and is designed to interoperate with the Python numerical and scientific libraries NumPy and SciPy.</p>"
Selenium,Adopt,Languages and Frameworks,TRUE,<strong>Test Automation Framework</strong><p>Selenium is a portable framework for testing web applications. Selenium provides a playback tool for authoring functional tests without the need to learn a test scripting language. </p>
Sequelize,Adopt,Languages and Frameworks,TRUE,"<strong>ORM</strong><p>Sequelize is a promise-based Node.js ORM for Postgres, MySQL, MariaDB, SQLite and Microsoft SQL Server. It features solid transaction support, relations, eager and lazy loading, read replication and more.</p>"
skill-set-availability,Adopt,Techniques,TRUE,"<strong>Estimation    </strong><p>A skill set is the knowledge, abilities, and experience needed to perform a job. Specific skill set areas can include human relations, research and planning, accounting, leadership, management, and computer skills.</p>"
Slack,Adopt,Tools,TRUE,<strong>Communication</strong><p>Slack is a cloud-based proprietary instant messaging platform developed by Slack Technologies.</p>
SLIM,Adopt,Languages and Frameworks,TRUE,<strong>MVC</strong><p>Slim is a PHP micro framework that helps you quickly write simple yet powerful web applications and APIs</p>
SoapUI,Adopt,Languages and Frameworks,TRUE,"<strong>UML Design     </strong><p>SoapUI is an open-source web service testing application for service-oriented architectures and representational state transfers. Its functionality covers web service inspection, invoking, development, simulation and mocking, functional testing, load and compliance testing.</p>"
SonarQube,Adopt,Tools,TRUE,"<strong>Code analysis</strong><p>SonarQube is an open-source platform developed by SonarSource for continuous inspection of code quality to perform automatic reviews with static analysis of code to detect bugs, code smells, and security vulnerabilities on 20+ programming languages.</p>"
Springboot,Adopt,Languages and Frameworks,TRUE,<strong>Other frameworks</strong><p>Spring Boot is an open source Java-based framework used to create a micro Service. It is developed by Pivotal Team and is used to build stand-alone and production ready spring applications.</p>
syslog-ng,Adopt,Languages and Frameworks,TRUE,"<strong>Log management</strong><p>syslog-ng is a free and open-source implementation of the syslog protocol for Unix and Unix-like systems. It extends the original syslogd model with content-based filtering, rich filtering capabilities, flexible configuration options and adds important features to syslog, like using TCP for transpor</p>"
telegraf,Adopt,Languages and Frameworks,TRUE,<strong>Monitoring Framework</strong><p>Telegraf is an agent written in Go for collecting performance metrics from the system it's running on and the services running on that system. The collected metrics are output to InfluxDB or or other supported data stores</p>
Test automation,Adopt,Techniques,TRUE,"<strong>Automation     </strong><p>In software testing, test automation is the use of software separate from the software being tested to control the execution of tests and the comparison of actual outcomes with predicted outcomes.</p>"
Typescript,Adopt,Languages and Frameworks,TRUE,"<strong>Programming Languages</strong><p>TypeScript is an open-source programming language developed and maintained by Microsoft. It is a strict syntactical superset of JavaScript, and adds optional static typing to the language. TypeScript is designed for development of large applications and transcompiles to JavaScript.</p>"
Ubuntu,Adopt,Platform,TRUE,"<strong>Operating Systems</strong><p>Ubuntu is a free and open-source Linux distribution based on Debian. Ubuntu is officially released in three editions: Desktop, Server, and Core. All the editions can run on the computer alone, or in a virtual machine. Ubuntu is a popular operating system for cloud computing, with support for OpenStack</p>"
vCenter,Adopt,Languages and Frameworks,TRUE,"<strong>Enterprise Virtualization</strong><p>vCenter Server is the centralized management utility for VMware, and is used to manage virtual machines, multiple ESXi hosts, and all dependent components from a single centralized location. VMware vMotion and svMotion require the use of vCenter and ESXi hosts.</p>"
Vectorwise,Adopt,Platform,TRUE,"<strong>Columnar database</strong><p>Actian Vector is an SQL relational database management system designed for high performance in analytical database applications. It published record breaking results on the Transaction Processing Performance Council's TPC-H benchmark for database sizes of 100 GB, 300 GB, 1 TB and 3 TB on non-clustered hardware.</p>"
VoiceXML,Adopt,Languages and Frameworks,TRUE,"<strong>Call control languages</strong><p>VoiceXML is a digital document standard for specifying interactive media and voice dialogs between humans and computers. It is used for developing audio and voice response applications, such as banking systems and automated customer service portals.</p>"
VoltDB,Adopt,Platform,TRUE,"<strong>In Memory database</strong><p>VoltDB is an in-memory database designed by Michael Stonebraker, Sam Madden, and Daniel Abadi. It is an ACID-compliant RDBMS that uses a shared nothing architecture. It includes both enterprise and community editions. The community edition is licensed under the GNU Affero General Public License</p>"
WebSphere,Adopt,Platform,TRUE,"<strong>Web Application Server</strong><p>WebSphere is a set of Java-based tools from IBM that allows customers to create and manage sophisticated business Web sites. The central WebSphere tool is the WebSphere Application Server (WAS), an application server that a customer can use to connect Web site users with Java applications or servlets.</p>"
Work Break Down Structure (WBS),Adopt,Techniques,TRUE,"<strong>Estimation     </strong><p>A work-breakdown structure in project management and systems engineering, is a deliverable-oriented breakdown of a project into smaller components. A work breakdown structure is a key project deliverable that organizes the team's work into manageable sections.</p>"
Zabbix,Adopt,Languages and Frameworks,TRUE,"<strong>Message Queues</strong><p>Apache ActiveMQ is an open source message broker written in Java together with a full Java Message Service client. It provides ""Enterprise Features"" which in this case means fostering the communication from more than one client or server.</p>"
Active MQ,Assess,Languages and Frameworks,TRUE,<strong>Operating Systems</strong><p>AIX is a series of proprietary Unix operating systems developed and sold by IBM for several of its computer platforms.</p>
AIX,Assess,Platform,TRUE,<strong>Operating Systems</strong><p>AIX is a series of proprietary Unix operating systems developed and sold by IBM for several of its computer platforms.</p>
Anaconda,Assess,Tools,TRUE,"<strong>AI/ML Technologies</strong><p>Anaconda is a free and open-source distribution of the Python and R programming languages for scientific computing (data science, machine learning applications, large-scale data processing, predictive analytics, etc.), that aims to simplify package management and deployment.</p>"
Ansible Tower,Assess,Techniques,TRUE,"<strong>Deployment automation</strong><p>Ansible Tower (formerly 'AWX') is a web-based solution that makes Ansible even more easy to use for IT teams of all kinds. It's designed to be the hub for all of your automation tasks. ... Tower is free for usage for up to 10 nodes, and comes bundled with amazing support from Ansible, Inc</p>"
Apache Ignite,Trail,Platform,TRUE,
Apache Pig,Assess,Tools,TRUE,
B2 (BoostBuild),Assess,Platform,TRUE,
BitBucket,Trail,Platform,TRUE,
C#,Assess,Tools,TRUE,
Cassandra,Assess,Platform,TRUE,
check,Assess,Languages and Frameworks,TRUE,
Chef,Assess,Techniques,TRUE,
Chronograf,Assess,Platform,TRUE,
ClickHouse,Assess,Platform,TRUE,
CloudFoundry,Trail,Platform,TRUE,
CMake,Assess,Platform,TRUE,
Configmap,Trail,Platform,TRUE,
COS360,Stop,Techniques,TRUE,
CouchBase,Assess,Platform,TRUE,
CouchDB,Trail,Platform,TRUE,
coverage.py (python),Assess,Tools,TRUE,
Coverity,Assess,Tools,TRUE,
cppunit,Assess,Languages and Frameworks,TRUE,
Crystal Reports,Assess,Techniques,TRUE,
CUBOT,Stop,Techniques,TRUE,
CVS,Stop,Platform,TRUE,
Docker,Trail,Platform,TRUE,
Doctrine,Assess,Languages and Frameworks,TRUE,
Go,Assess,Languages and Frameworks,TRUE,
Hadoop (Cloudera),Assess,Tools,TRUE,
Hadoop (Community),Assess,Tools,TRUE,
Hazelcast,Assess,Platform,TRUE,
Hbase,Assess,Tools,TRUE,
Helm,Trail,Platform,TRUE,
HP-UX,Assess,Platform,TRUE,
HyperLedger,Assess,Platform,TRUE,
IBM MQ Series,Assess,Languages and Frameworks,TRUE,
IIS,Assess,Platform,TRUE,Windows based web server
Ingress,Trail,Platform,TRUE,
JSSE,Assess,Languages and Frameworks,TRUE,
Klocworks,Assess,Tools,TRUE,
Kubernetes,Trail,Platform,TRUE,
MAP-R,Assess,Tools,TRUE,
MariaDB Columnar,Trail,Platform,TRUE,
Memcached,Stop,Platform,TRUE,
Microsoft Azure,Trail,Platform,TRUE,
Mocha,Assess,Languages and Frameworks,TRUE,
mremoteng,Assess,Tools,TRUE,
MULE ESB,Stop,Languages and Frameworks,TRUE,
Omega / BIRT,Stop,Techniques,TRUE,
OpenCV,Assess,Languages and Frameworks,TRUE,
OpenShift,Assess,Platform,TRUE,
Oracle Cloud,Trail,Platform,TRUE,
Oracle Columnar,Assess,Platform,TRUE,
Pentaho,Assess,Techniques,TRUE,
PlantML,Trail,Techniques,TRUE,
Pro*C,Stop,Languages and Frameworks,TRUE,
Prometheus,Trail,Languages and Frameworks,TRUE,
PrometheusDB,Trail,Platform,TRUE,
Puppet,Assess,Techniques,TRUE,
PyCharm,Assess,Tools,TRUE,
Redis sentinel,Assess,Platform,TRUE,
Review Board,Assess,Tools,TRUE,
Rhino,Assess,Languages and Frameworks,TRUE,
Ruby,Assess,Tools,TRUE,
Sahi,Stop,Languages and Frameworks,TRUE,
sensu,Stop,Languages and Frameworks,TRUE,
SimpleCov (Ruby),Assess,Tools,TRUE,
Smart GWT,Stop,Languages and Frameworks,TRUE,
Solaris (SPARC),Stop,Platform,TRUE,
Struts,Stop,Languages and Frameworks,TRUE,
superputty,Assess,Tools,TRUE,
SuperSet,Trail,Techniques,TRUE,
TensorFlow,Assess,Tools,TRUE,
Vegeta,Assess,Languages and Frameworks,TRUE,
Waterfall,Stop,Platform,TRUE,
WebLogic,Assess,Platform,TRUE,
Xen,Trail,Platform,TRUE,
Zoho,Stop,Platform,TRUE,
