name,ring,quadrant,isNew,description
Django,Adopt,Platform,TRUE,"<strong>Web Application Server</strong><p>Django is a Python-based free and open-source web framework, which follows the model-template-view architectural pattern. It is maintained by the Django Software Foundation, an independent organization established as a 501 non-profit. Django's primary goal is to ease the creation of complex, database-driven websites.</p>"
Eclipse,Adopt,Tools,TRUE,<strong>Coding (Editors / Utilities)</strong><p>Eclipse is an integrated development environment used in computer programming. It contains a base workspace and an extensible plug-in system for customizing the environment.</p>
Express.js,Adopt,Languages and Frameworks,TRUE,"<strong>Other frameworks</strong><p>Express.js, or simply Express, is a web application framework for Node.js, released as free and open-source software under the MIT License. It is designed for building web applications and APIs. It has been called the de facto standard server framework for Node.js.</p>"
F5,Adopt,Languages and Frameworks,TRUE,"<strong>H/W Load balancers</strong><p>F5 Networks, Inc. is a transnational company that specializes in application services and application delivery networking. F5 technologies focus on the delivery, security, performance, and availability of web applications, including the availability of computing, storage, and network resources.</p>"
Galera,Adopt,Platform,TRUE,"<strong>Database cluster</strong><p>Galera Cluster is a synchronous multi-master replication plug-in for InnoDB. It is very different from the regular MySQL Replication, and addresses a number of issues including write conflicts when writing on multiple masters, replication lag and slaves being out of sync with the master</p>"
gcov (C/C++),Adopt,Tools,TRUE,<strong>Code coverage</strong><p>Gcov is a source code coverage analysis and statement-by-statement profiling tool. Gcov generates exact counts of the number of times each statement in a program is executed and annotates source code to add instrumentation. Gcov comes as a standard utility with the GNU Compiler Collection (GCC) suite.</p>
gdb,Adopt,Techniques,TRUE,"<strong>Debugging     </strong><p>The GNU Debugger is a portable debugger that runs on many Unix-like systems and works for many programming languages, including Ada, C, C++, Objective-C, Free Pascal, Fortran, Go, and partially others.</p>"
Git,Adopt,Platform,TRUE,"<strong>Configuration management</strong><p>Git is a distributed version-control system for tracking changes in source code during software development. It is designed for coordinating work among programmers, but it can be used to track changes in any set of files. Its goals include speed, data integrity, and support for distributed, non-linear workflows.</p>"
Google Office,Adopt,Platform,TRUE,
HA Proxy,Adopt,Platform,TRUE,
Hibernate,Adopt,Languages and Frameworks,TRUE,
HTML5,Adopt,Tools,TRUE,
InfluxDB,Adopt,Platform,TRUE,
Infobright,Adopt,Platform,TRUE,
Istanbul (JavaScript),Adopt,Tools,TRUE,
jacoco (JAVA),Adopt,Tools,TRUE,
Jasmine,Adopt,Languages and Frameworks,TRUE,
Jasper,Adopt,Techniques,TRUE,
Java,Adopt,Languages and Frameworks,TRUE,
Java script,Adopt,Tools,TRUE,
jdb,Adopt,Techniques,TRUE,
Jenkins,Adopt,Platform,TRUE,
jmeter,Adopt,Techniques,TRUE,
Kapacitor,Adopt,Languages and Frameworks,TRUE,
KVM,Adopt,Platform,TRUE,
Linux HA,Adopt,Techniques,TRUE,
log4j,Adopt,Languages and Frameworks,TRUE,
logback,Adopt,Languages and Frameworks,TRUE,
Maven,Adopt,Platform,TRUE,
MongoDB,Adopt,Platform,TRUE,
MoSCoW Rule,Adopt,Techniques,TRUE,
MySQL,Adopt,Platform,TRUE,
nagios,Adopt,Languages and Frameworks,TRUE,
Network security,Adopt,Techniques,TRUE,
Nginx,Adopt,Platform,TRUE,
Node Express,Adopt,Platform,TRUE,
Node.js,Adopt,Languages and Frameworks,TRUE,
Open Stack,Adopt,Platform,TRUE,
Oracle,Adopt,Platform,TRUE,
Oracle Cluster,Adopt,Techniques,TRUE,
Oracle Golden gate,Adopt,Platform,TRUE,
Oracle Linux,Adopt,Platform,TRUE,
OVM,Adopt,Languages and Frameworks,TRUE,
PaceMaker,Adopt,Techniques,TRUE,
Perl,Adopt,Tools,TRUE,
PHP,Adopt,Tools,TRUE,
Poker Planning,Adopt,Techniques,TRUE,
Postgres,Adopt,Platform,TRUE,
proguard,Adopt,Techniques,TRUE,
Python,Adopt,Tools,TRUE,
QlikSense,Adopt,Techniques,TRUE,
Rabbit MQ,Adopt,Languages and Frameworks,TRUE,
Radware,Adopt,Languages and Frameworks,TRUE,
React,Adopt,Languages and Frameworks,TRUE,
RedHat Linux,Adopt,Platform,TRUE,
Rest assured,Adopt,Languages and Frameworks,TRUE,
rsyslog,Adopt,Languages and Frameworks,TRUE,
Scikit-learn,Adopt,Tools,TRUE,
Selenium,Adopt,Languages and Frameworks,TRUE,
Sequelize,Adopt,Languages and Frameworks,TRUE,
skill-set-availability,Adopt,Techniques,TRUE,
Slack,Adopt,Tools,TRUE,
SLIM,Adopt,Languages and Frameworks,TRUE,
SoapUI,Adopt,Languages and Frameworks,TRUE,
SonarQube,Adopt,Tools,TRUE,
Springboot,Adopt,Languages and Frameworks,TRUE,
syslog-ng,Adopt,Languages and Frameworks,TRUE,
telegraf,Adopt,Languages and Frameworks,TRUE,
Test automation,Adopt,Techniques,TRUE,
Typescript,Adopt,Languages and Frameworks,TRUE,
Ubuntu,Adopt,Platform,TRUE,
vCenter,Adopt,Languages and Frameworks,TRUE,
Vectorwise,Adopt,Platform,TRUE,
VoiceXML,Adopt,Languages and Frameworks,TRUE,
VoltDB,Adopt,Platform,TRUE,
Web Server,Adopt,Platform,TRUE,
WebSphere,Adopt,Platform,TRUE,
Work Break Down Structure (WBS),Adopt,Techniques,TRUE,
Zabbix,Adopt,Languages and Frameworks,TRUE,
Active MQ,Assess,Languages and Frameworks,TRUE,
AIX,Assess,Platform,TRUE,
Anaconda,Assess,Tools,TRUE,
Ansible Tower,Assess,Techniques,TRUE,
Apache Ignite,Trail,Platform,TRUE,
Apache Pig,Assess,Tools,TRUE,
B2 (BoostBuild),Assess,Platform,TRUE,
BitBucket,Trail,Platform,TRUE,
C#,Assess,Tools,TRUE,
Cassandra,Assess,Platform,TRUE,
check,Assess,Languages and Frameworks,TRUE,
Chef,Assess,Techniques,TRUE,
Chronograf,Assess,Platform,TRUE,
ClickHouse,Assess,Platform,TRUE,
CloudFoundry,Trail,Platform,TRUE,
CMake,Assess,Platform,TRUE,
Configmap,Trail,Platform,TRUE,
COS360,Stop,Techniques,TRUE,
CouchBase,Assess,Platform,TRUE,
CouchDB,Trail,Platform,TRUE,
coverage.py (python),Assess,Tools,TRUE,
Coverity,Assess,Tools,TRUE,
cppunit,Assess,Languages and Frameworks,TRUE,
Crystal Reports,Assess,Techniques,TRUE,
CUBOT,Stop,Techniques,TRUE,
CVS,Stop,Platform,TRUE,
Docker,Trail,Platform,TRUE,
Doctrine,Assess,Languages and Frameworks,TRUE,
Go,Assess,Languages and Frameworks,TRUE,
Hadoop (Cloudera),Assess,Tools,TRUE,
Hadoop (Community),Assess,Tools,TRUE,
Hazelcast,Assess,Platform,TRUE,
Hbase,Assess,Tools,TRUE,
Helm,Trail,Platform,TRUE,
HP-UX,Assess,Platform,TRUE,
HyperLedger,Assess,Platform,TRUE,
IBM MQ Series,Assess,Languages and Frameworks,TRUE,
IIS,Assess,Platform,TRUE,Windows based web server
Ingress,Trail,Platform,TRUE,
JSSE,Assess,Languages and Frameworks,TRUE,
Klocworks,Assess,Tools,TRUE,
Kubernetes,Trail,Platform,TRUE,
MAP-R,Assess,Tools,TRUE,
MariaDB Columnar,Trail,Platform,TRUE,
Memcached,Stop,Platform,TRUE,
Microsoft Azure,Trail,Platform,TRUE,
Mocha,Assess,Languages and Frameworks,TRUE,
mremoteng,Assess,Tools,TRUE,
MULE ESB,Stop,Languages and Frameworks,TRUE,
Omega / BIRT,Stop,Techniques,TRUE,
OpenCV,Assess,Languages and Frameworks,TRUE,
OpenShift,Assess,Platform,TRUE,
Oracle Cloud,Trail,Platform,TRUE,
Oracle Columnar,Assess,Platform,TRUE,
Pentaho,Assess,Techniques,TRUE,
PlantML,Trail,Techniques,TRUE,
Pro*C,Stop,Languages and Frameworks,TRUE,
Prometheus,Trail,Languages and Frameworks,TRUE,
PrometheusDB,Trail,Platform,TRUE,
Puppet,Assess,Techniques,TRUE,
PyCharm,Assess,Tools,TRUE,
Redis sentinel,Assess,Platform,TRUE,
Review Board,Assess,Tools,TRUE,
Rhino,Assess,Languages and Frameworks,TRUE,
Ruby,Assess,Tools,TRUE,
Sahi,Stop,Languages and Frameworks,TRUE,
sensu,Stop,Languages and Frameworks,TRUE,
SimpleCov (Ruby),Assess,Tools,TRUE,
Smart GWT,Stop,Languages and Frameworks,TRUE,
Solaris (SPARC),Stop,Platform,TRUE,
Struts,Stop,Languages and Frameworks,TRUE,
superputty,Assess,Tools,TRUE,
SuperSet,Trail,Techniques,TRUE,
TensorFlow,Assess,Tools,TRUE,
Vegeta,Assess,Languages and Frameworks,TRUE,
Waterfall,Stop,Platform,TRUE,
WebLogic,Assess,Platform,TRUE,
Xen,Trail,Platform,TRUE,
Zoho,Stop,Platform,TRUE,
